ID,Name,Category,Subcategory,Region,Status,Primary_Source,Description
B028,American Braille (AB) / Modified American Braille,Braille Systems,Americas,USA,Legacy,https://en.wikipedia.org/wiki/American_Braille,Joel W. Smith's frequency-based dot assignment system; introduced at Perkins Institution in 1878
B029,Aymara Braille,Braille Systems,Americas,Bolivia/Peru,Active,https://www.perkins.org/resource/world-braille-usage/,Bolivia Peru
B030,Cherokee Braille,Braille Systems,Americas,USA,Active,https://www.perkins.org/resource/world-braille-usage/,Syllabary adaptation
B031,Cree Syllabics Braille,Braille Systems,Americas,Canada,Active,https://www.perkins.org/resource/world-braille-usage/,Canada; syllabic script
B032,Guarani Braille,Braille Systems,Americas,Paraguay,Active,https://www.perkins.org/resource/world-braille-usage/,Based on French-ordered Braille
B033,Haitian Creole Braille,Braille Systems,Americas,Haiti,Active,https://www.perkins.org/resource/world-braille-usage/,Listed under French but deserves own entry
B034,Hawaiian Braille,Braille Systems,Americas,USA (Hawaii),Active,https://www.perkins.org/resource/world-braille-usage/,Based on French-ordered Braille
B035,Inuktitut Braille,Braille Systems,Americas,Canada,Active,https://www.perkins.org/resource/world-braille-usage/,Adapted for Inuktitut syllabics; reassigned vowels
B036,Iñupiaq Braille,Braille Systems,Americas,USA (Alaska),Active,https://www.perkins.org/resource/world-braille-usage/,Based on French-ordered Braille
B037,Lakota/Dakota Braille,Braille Systems,Americas,USA,Active,https://www.perkins.org/resource/world-braille-usage/,USA
B038,Mapudungun Braille,Braille Systems,Americas,Chile/Argentina,Active,https://www.perkins.org/resource/world-braille-usage/,Chile Argentina
B039,Maya language Braille systems,Braille Systems,Americas,Guatemala/Mexico,Active,https://www.perkins.org/resource/world-braille-usage/,Guatemala Mexico
B040,Nahuatl Braille,Braille Systems,Americas,Mexico,Active,https://www.perkins.org/resource/world-braille-usage/,Mexico
B041,Navajo Braille,Braille Systems,Americas,USA,Active,https://www.perkins.org/resource/world-braille-usage/,Based on French-ordered Braille
B042,Ojibwe Braille,Braille Systems,Americas,USA/Canada,Active,https://www.perkins.org/resource/world-braille-usage/,Multiple orthographies
B043,Papiamento Braille,Braille Systems,Americas,Caribbean,Active,https://www.perkins.org/resource/world-braille-usage/,Caribbean
B044,Portuguese Braille (Brazilian),Braille Systems,Americas,Brazil,Active,https://www.perkins.org/resource/world-braille-usage/,PT-BR variant with slight differences from PT-PT
B045,Quechua Braille,Braille Systems,Americas,Peru/Bolivia/Ecuador,Active,https://www.perkins.org/resource/world-braille-usage/,Peru Bolivia Ecuador
B046,Spanish Braille (Latin American variants),Braille Systems,Americas,Latin America,Active,https://www.perkins.org/resource/world-braille-usage/,Regional variations across Latin America
B047,Unified English Braille (UEB) - Americas,Braille Systems,Americas,USA/Canada,Active,https://www.iceb.org/ueb.html,Current standard for English (US Canada)
B048,Armenian Braille,Braille Systems,Asian and Pacific,Armenia,Active,https://en.wikipedia.org/wiki/Armenian_Braille,Distinct cell assignments for Armenian script
B049,Azerbaijani Braille,Braille Systems,Asian and Pacific,Azerbaijan,Active,https://www.perkins.org/resource/world-braille-usage/,Based on French-ordered Braille
B050,Balinese Braille,Braille Systems,Asian and Pacific,Indonesia,Active,https://www.perkins.org/resource/world-braille-usage/,Indonesia
B051,Bislama Braille,Braille Systems,Asian and Pacific,Vanuatu,Active,https://www.perkins.org/resource/world-braille-usage/,Vanuatu
B052,Bodo Braille,Braille Systems,Asian and Pacific,India,Active,https://www.perkins.org/resource/world-braille-usage/,Northeast India
B053,Buginese/Lontara Braille,Braille Systems,Asian and Pacific,Indonesia,Active,https://www.perkins.org/resource/world-braille-usage/,Indonesia; indigenous script
B054,Burmese Braille,Braille Systems,Asian and Pacific,Myanmar,Active,https://en.wikipedia.org/wiki/Burmese_Braille,For Burmese script (Myanmar)
B055,Cantonese Braille,Braille Systems,Asian and Pacific,Hong Kong/Macau,Active,https://en.wikipedia.org/wiki/Cantonese_Braille,Purely phonetic; each syllable divided into initial consonant rime and tone
B056,Cebuano Braille,Braille Systems,Asian and Pacific,Philippines,Active,https://www.perkins.org/resource/world-braille-usage/,Philippines
B057,Chechen Braille,Braille Systems,Asian and Pacific,Russia (Chechnya),Active,https://www.perkins.org/resource/world-braille-usage/,Cyrillic-based
B058,Dari Braille,Braille Systems,Asian and Pacific,Afghanistan,Active,https://www.perkins.org/resource/world-braille-usage/,Afghanistan; Persian variant
B059,Dogri Braille,Braille Systems,Asian and Pacific,India,Active,https://www.perkins.org/resource/world-braille-usage/,India
B060,Dzongkha Braille (Bhutanese),Braille Systems,Asian and Pacific,Bhutan,Active,https://www.perkins.org/resource/world-braille-usage/,Adapted for Dzongkha script
B061,Fijian Braille,Braille Systems,Asian and Pacific,Fiji,Active,https://www.perkins.org/resource/world-braille-usage/,Fiji
B062,Filipino/Tagalog Braille,Braille Systems,Asian and Pacific,Philippines,Active,https://www.perkins.org/resource/world-braille-usage/,Philippines; Latin-based
B063,Georgian Braille,Braille Systems,Asian and Pacific,Georgia,Active,https://en.wikipedia.org/wiki/Georgian_Braille,Unique mapping for Georgian script
B064,Hmong Braille (RPA),Braille Systems,Asian and Pacific,Southeast Asia/USA,Active,https://www.perkins.org/resource/world-braille-usage/,Basic DBT template for Hmong (RPA) language; uses Romanized Popular Alphabet
B065,Indian Braille (Bharati Braille),Braille Systems,Asian and Pacific,India/South Asia,Active,https://en.wikipedia.org/wiki/Bharati_Braille,Unified code (1951); covers Hindi Bengali Tamil Telugu Malayalam Gujarati Punjabi and others
B066,Japanese Tenji (Braille),Braille Systems,Asian and Pacific,Japan,Active,https://en.wikipedia.org/wiki/Japanese_Braille,Kuraji Ishikawa's system (1890); transcribes Japanese as written in hiragana/katakana
B067,Javanese Braille,Braille Systems,Asian and Pacific,Indonesia,Active,https://www.perkins.org/resource/world-braille-usage/,Indonesia; could include Javanese script adaptation
B068,Kashmiri Braille,Braille Systems,Asian and Pacific,India/Pakistan,Active,https://www.perkins.org/resource/world-braille-usage/,India/Pakistan
B069,Kazakh Braille,Braille Systems,Asian and Pacific,Kazakhstan,Active,https://en.wikipedia.org/wiki/Kazakh_Braille,Russian lineage family (Cyrillic-mediated)
B070,Khmer Braille,Braille Systems,Asian and Pacific,Cambodia,Active,https://en.wikipedia.org/wiki/Khmer_Braille,For Cambodian script
B071,Konkani Braille,Braille Systems,Asian and Pacific,India (Goa),Active,https://www.perkins.org/resource/world-braille-usage/,India (Goa)
B072,Korean Hangul Braille,Braille Systems,Asian and Pacific,South Korea,Active,https://en.wikipedia.org/wiki/Korean_Braille,Rosetta Sherwood Hall (1894) Park Du-seong (1926); reflects Hangul patterns
B073,Kurdish Braille,Braille Systems,Asian and Pacific,Kurdistan region,Active,https://www.perkins.org/resource/world-braille-usage/,Multiple scripts (Arabic Latin Cyrillic)
B074,Kyrgyz Braille,Braille Systems,Asian and Pacific,Kyrgyzstan,Active,https://www.perkins.org/resource/world-braille-usage/,Russian lineage family (Cyrillic-mediated)
B075,Lao Braille,Braille Systems,Asian and Pacific,Laos,Active,https://en.wikipedia.org/wiki/Thai_and_Lao_Braille,Uses Japanese vowels; adapted for Lao script
B076,Mainland Chinese Braille,Braille Systems,Asian and Pacific,China,Active,https://en.wikipedia.org/wiki/Mainland_Chinese_Braille,Each syllable written with up to three Braille cells (initial final tone)
B077,Mainland Chinese Mandarin Braille,Braille Systems,Asian and Pacific,China,Active,https://en.wikipedia.org/wiki/Mainland_Chinese_Braille,Chinese semi-syllabary; largely reassigned from French-ordered
B078,Maithili Braille,Braille Systems,Asian and Pacific,India/Nepal,Active,https://www.perkins.org/resource/world-braille-usage/,India/Nepal
B079,Malay/Indonesian Braille,Braille Systems,Asian and Pacific,Malaysia/Indonesia,Active,https://en.wikipedia.org/wiki/Indonesian_Braille,Based on Latin alphabet (Southeast Asia)
B080,Manipuri/Meitei Braille,Braille Systems,Asian and Pacific,India,Active,https://www.perkins.org/resource/world-braille-usage/,Manipur India
B081,Mongolian Braille,Braille Systems,Asian and Pacific,Mongolia,Active,https://en.wikipedia.org/wiki/Mongolian_Braille,Based on Russian Braille; covers Mongolian (Cyrillic script)
B082,Māori Braille,Braille Systems,Asian and Pacific,New Zealand,Active,https://www.perkins.org/resource/world-braille-usage/,Based on French-ordered Braille
B083,Ossetian Braille,Braille Systems,Asian and Pacific,Russia (Caucasus),Active,https://www.perkins.org/resource/world-braille-usage/,Cyrillic-based; Caucasus
B084,Pakistani Urdu Braille,Braille Systems,Asian and Pacific,Pakistan,Active,https://en.wikipedia.org/wiki/Pakistani_Urdu_Braille,Entirely different alphabet than Indian Urdu Braille
B085,Pashto Braille,Braille Systems,Asian and Pacific,Afghanistan/Pakistan,Active,https://www.perkins.org/resource/world-braille-usage/,Afghanistan/Pakistan; Arabic script family
B086,Samoan Braille,Braille Systems,Asian and Pacific,Samoa,Active,https://www.perkins.org/resource/world-braille-usage/,Based on French-ordered Braille
B087,Santali Braille,Braille Systems,Asian and Pacific,India/Bangladesh,Active,https://www.perkins.org/resource/world-braille-usage/,India/Bangladesh; Ol Chiki script
B088,Sindhi Braille,Braille Systems,Asian and Pacific,Pakistan/India,Active,https://www.perkins.org/resource/world-braille-usage/,Pakistan/India; Arabic and Devanagari variants
B089,Sinhala Braille,Braille Systems,Asian and Pacific,Sri Lanka,Active,https://en.wikipedia.org/wiki/Sinhala_Braille,Indian lineage family (Bharati Braille)
B090,Sundanese Braille,Braille Systems,Asian and Pacific,Indonesia,Active,https://www.perkins.org/resource/world-braille-usage/,Indonesia
B091,Taiwanese Braille,Braille Systems,Asian and Pacific,Taiwan,Active,https://en.wikipedia.org/wiki/Taiwanese_Braille,Based on Zhuyin (Bopomofo) phonetic system
B092,Taiwanese Mandarin Braille,Braille Systems,Asian and Pacific,Taiwan,Active,https://en.wikipedia.org/wiki/Taiwanese_Braille,Chinese semi-syllabary; largely reassigned from French-ordered
B093,Tajik Braille,Braille Systems,Asian and Pacific,Tajikistan,Active,https://www.perkins.org/resource/world-braille-usage/,Persian-influenced; Cyrillic-based
B094,Tetum Braille,Braille Systems,Asian and Pacific,Timor-Leste,Active,https://www.perkins.org/resource/world-braille-usage/,Timor-Leste
B095,Thai Braille,Braille Systems,Asian and Pacific,Thailand,Active,https://en.wikipedia.org/wiki/Thai_and_Lao_Braille,Adapted for Thai abugida; adapted from English Braille with tone markers
B096,Tibetan Braille,Braille Systems,Asian and Pacific,Tibet/India,Active,https://en.wikipedia.org/wiki/Tibetan_Braille,Represents Tibetan syllabic structure; developed mid-20th century
B097,Tok Pisin Braille,Braille Systems,Asian and Pacific,Papua New Guinea,Active,https://www.perkins.org/resource/world-braille-usage/,Papua New Guinea
B098,Tongan Braille,Braille Systems,Asian and Pacific,Tonga,Active,https://www.perkins.org/resource/world-braille-usage/,Tonga
B099,Turkish Braille,Braille Systems,Asian and Pacific,Turkey,Active,https://en.wikipedia.org/wiki/Turkish_Braille,Adapted for Turkish alphabet
B100,Turkmen Braille,Braille Systems,Asian and Pacific,Turkmenistan,Active,https://www.perkins.org/resource/world-braille-usage/,Latin-based (post-Soviet)
B101,Two-Cell Chinese Braille (Shuangpin),Braille Systems,Asian and Pacific,China,Active,https://en.wikipedia.org/wiki/Two-cell_Chinese_Braille,Encodes all syllable information in exactly two cells; approved 1988
B102,Uyghur Braille,Braille Systems,Asian and Pacific,China,Active,https://www.perkins.org/resource/world-braille-usage/,Arabic script adaptation; China
B103,Uzbek Braille,Braille Systems,Asian and Pacific,Uzbekistan,Active,https://www.perkins.org/resource/world-braille-usage/,Latin/Cyrillic variants
B104,Vietnamese Braille,Braille Systems,Asian and Pacific,Vietnam,Active,https://en.wikipedia.org/wiki/Vietnamese_Braille,Phonetically based on Quốc ngữ romanization; uses diacritic cells for tonal marks
B105,Arabic Braille (Asian),Braille Systems,Asian and Pacific,Middle East/Central Asia,Active,https://en.wikipedia.org/wiki/Arabic_Braille,Uses French sorting order; adapted for right-to-left reading
B106,Albanian Braille,Braille Systems,European,Albania,Active,https://www.perkins.org/resource/world-braille-usage/,Based on French-ordered Braille
B107,Aromanian Braille,Braille Systems,European,Balkans,Active,https://www.perkins.org/resource/world-braille-usage/,Balkans
B108,Basque (Euskara) Braille,Braille Systems,European,Spain/France,Active,https://www.perkins.org/resource/world-braille-usage/,Spain/France; unique language isolate
B109,Belarusian Braille,Braille Systems,European,Belarus,Active,https://en.wikipedia.org/wiki/Russian_Braille,Russian lineage family (Cyrillic-mediated); 33-cell alphabet
B110,Breton Braille,Braille Systems,European,France,Active,https://www.perkins.org/resource/world-braille-usage/,France
B111,Bulgarian Braille,Braille Systems,European,Bulgaria,Active,https://en.wikipedia.org/wiki/Bulgarian_Braille,Russian lineage family (Cyrillic-mediated)
B112,Catalan Braille,Braille Systems,European,Spain,Active,https://www.perkins.org/resource/world-braille-usage/,Based on French-ordered Braille
B113,Cornish Braille,Braille Systems,European,UK,Active,https://www.perkins.org/resource/world-braille-usage/,Revived language; UK
B114,Czech/Slovak Braille,Braille Systems,European,Czech Republic/Slovakia,Active,https://en.wikipedia.org/wiki/Czech_Braille,Similar to Polish but with own diacritic mapping
B115,Danish Braille,Braille Systems,European,Denmark,Active,https://en.wikipedia.org/wiki/Danish_Braille,Nordic family Braille (Scandinavian)
B116,Dutch Braille,Braille Systems,European,Netherlands/Belgium,Active,https://en.wikipedia.org/wiki/Dutch_Braille,Uses 'ij' digraph; covers Dutch and Flemish
B117,Estonian Braille,Braille Systems,European,Estonia,Active,https://www.perkins.org/resource/world-braille-usage/,Nordic family Braille
B118,Faroese Braille,Braille Systems,European,Faroe Islands,Active,https://www.perkins.org/resource/world-braille-usage/,Nordic family Braille
B119,French Braille,Braille Systems,European,France,Active,https://en.wikipedia.org/wiki/French_Braille,Basis for many African Braille codes
B120,Frisian Braille,Braille Systems,European,Netherlands/Germany,Active,https://www.perkins.org/resource/world-braille-usage/,Netherlands/Germany
B121,Galician Braille,Braille Systems,European,Spain,Active,https://www.perkins.org/resource/world-braille-usage/,Spain
B122,German Braille,Braille Systems,European,Germany/Austria/Switzerland,Active,https://en.wikipedia.org/wiki/German_Braille,Includes special signs for ß and umlauts
B123,Greek Braille,Braille Systems,European,Greece,Active,https://en.wikipedia.org/wiki/Greek_Braille,Based on International Braille with Greek letters
B124,Greenlandic Braille,Braille Systems,European,Greenland,Active,https://www.perkins.org/resource/world-braille-usage/,Nordic family Braille (Scandinavian)
B125,Hungarian Braille,Braille Systems,European,Hungary,Active,https://en.wikipedia.org/wiki/Hungarian_Braille,Uses physical symmetry of patterns iconically
B126,Icelandic Braille,Braille Systems,European,Iceland,Active,https://en.wikipedia.org/wiki/Icelandic_Braille,Nordic family Braille
B127,Irish Braille,Braille Systems,European,Ireland,Active,https://en.wikipedia.org/wiki/Irish_Braille,Adapted for Gaelic orthography
B128,Italian Braille,Braille Systems,European,Italy,Active,https://en.wikipedia.org/wiki/Italian_Braille,Includes accented vowels
B129,Latvian Braille,Braille Systems,European,Latvia,Active,https://www.perkins.org/resource/world-braille-usage/,Based on French-ordered Braille
B130,Lithuanian Braille,Braille Systems,European,Lithuania,Active,https://www.perkins.org/resource/world-braille-usage/,Based on French-ordered Braille
B131,Luxembourgish Braille,Braille Systems,European,Luxembourg,Active,https://www.perkins.org/resource/world-braille-usage/,Extended to 8-dot system
B132,Macedonian Braille,Braille Systems,European,North Macedonia,Active,https://www.perkins.org/resource/world-braille-usage/,Cyrillic-based
B133,Maltese Braille,Braille Systems,European,Malta,Active,https://www.perkins.org/resource/world-braille-usage/,Based on French-ordered Braille
B134,Manx Braille,Braille Systems,European,Isle of Man,Active,https://www.perkins.org/resource/world-braille-usage/,Revived language
B135,Northern Sámi Braille,Braille Systems,European,Scandinavia,Active,https://www.perkins.org/resource/world-braille-usage/,Nordic family Braille (Scandinavian)
B136,Norwegian Braille,Braille Systems,European,Norway,Active,https://en.wikipedia.org/wiki/Norwegian_Braille,Nordic family Braille (Scandinavian)
B137,Occitan Braille,Braille Systems,European,Southern France,Active,https://www.perkins.org/resource/world-braille-usage/,Southern France
B138,Polish Braille,Braille Systems,European,Poland,Active,https://en.wikipedia.org/wiki/Polish_Braille,Handles diacritics
B139,Portuguese Braille,Braille Systems,European,Portugal,Active,https://en.wikipedia.org/wiki/Portuguese_Braille,Slight differences between PT-BR and PT-PT variants
B140,Romanian Braille,Braille Systems,European,Romania,Active,https://en.wikipedia.org/wiki/Romanian_Braille,Includes special characters for Romanian diacritics
B141,Romansh Braille,Braille Systems,European,Switzerland,Active,https://www.perkins.org/resource/world-braille-usage/,Switzerland
B142,Russian Braille,Braille Systems,European,Russia,Active,https://en.wikipedia.org/wiki/Russian_Braille,Based on Cyrillic alphabet; 33-cell alphabet
B143,Scottish Gaelic Braille,Braille Systems,European,UK (Scotland),Active,https://www.perkins.org/resource/world-braille-usage/,Distinct from Irish
B144,Slovak Braille,Braille Systems,European,Slovakia,Active,https://www.perkins.org/resource/world-braille-usage/,Similar to Czech but with own diacritic mapping
B145,Slovenian Braille,Braille Systems,European,Slovenia,Active,https://www.perkins.org/resource/world-braille-usage/,Distinct from Yugoslav system
B146,Sorbian Braille,Braille Systems,European,Germany,Active,https://www.perkins.org/resource/world-braille-usage/,Germany (Upper/Lower Sorbian)
B147,Spanish Braille,Braille Systems,European,Spain,Active,https://en.wikipedia.org/wiki/Spanish_Braille,Uses 'ñ' and accented vowels
B148,Swedish/Finnish Braille,Braille Systems,European,Sweden/Finland,Active,https://en.wikipedia.org/wiki/Swedish_Braille,Separate codes for Å Ä Ö
B149,Sámi variants (Lule South Inari Skolt),Braille Systems,European,Scandinavia,Active,https://www.perkins.org/resource/world-braille-usage/,Beyond Northern Sámi
B150,Tatar Braille,Braille Systems,European,Russia,Active,https://www.perkins.org/resource/world-braille-usage/,Russian lineage family (Cyrillic-mediated)
B151,Ukrainian Braille,Braille Systems,European,Ukraine,Active,https://en.wikipedia.org/wiki/Ukrainian_Braille,Russian lineage family (Cyrillic-mediated); 33-cell alphabet
B152,Unified English Braille (UEB) - Europe,Braille Systems,European,UK/Ireland,Active,https://www.iceb.org/ueb.html,Single unified code for English covering literary and technical material
B153,Welsh Braille,Braille Systems,European,UK (Wales),Active,https://en.wikipedia.org/wiki/Welsh_Braille,Includes special characters for Welsh
B154,Yugoslav Braille,Braille Systems,European,Former Yugoslavia,Active,https://www.perkins.org/resource/world-braille-usage/,Former Yugoslav languages (Serbian Croatian Bosnian etc.)
B155,Braille Music Notation,Braille Systems,Specialized - Music,International,Active,https://en.wikipedia.org/wiki/Braille_music,Louis Braille's original music notation (1829-present)
B156,Carnatic Music Braille,Braille Systems,Specialized - Music,India,Active,https://www.perkins.org/resource/world-braille-usage/,Braille Code for Carnatic Music developed in India
B157,New York Point Music,Braille Systems,Specialized - Music,USA,Legacy,https://en.wikipedia.org/wiki/New_York_Point,Notes made by combining two 'primitives' (digits 1-7); now obsolete
B158,8-Dot Braille (Computer Braille),Braille Systems,Specialized - Math/Science,International,Active,https://en.wikipedia.org/wiki/Computer_Braille_Code,Extended cell with two additional dots for encoding 256 characters
B159,Advanced Braille Code for Mathematics and Science (India),Braille Systems,Specialized - Math/Science,India,Active,https://www.perkins.org/resource/world-braille-usage/,Advanced Braille Code for Mathematics and Science developed in India
B160,AMS (ASCII Maths Notation),Braille Systems,Specialized - Math/Science,Germany/Austria/Eastern Europe,Active,https://www.perkins.org/resource/world-braille-usage/,Platform-independent mathematical notation using 7-bit ASCII
B161,Braille Mathematics (Nemeth Code),Braille Systems,Specialized - Math/Science,USA,Active,https://en.wikipedia.org/wiki/Nemeth_Braille,Specialized symbols for algebra calculus geometry
B162,Computer Braille (CBC),Braille Systems,Specialized - Math/Science,International,Active,https://en.wikipedia.org/wiki/Computer_Braille_Code,Designed for representing computer syntax
B163,Gardner–Salinas Braille Codes (GS8/GS6),Braille Systems,Specialized - Math/Science,International,Active,https://www.perkins.org/resource/world-braille-usage/,Specialized codes for scientific and technical notation
B164,HRTeX (Human Readable TeX),Braille Systems,Specialized - Math/Science,Austria,Active,https://www.perkins.org/resource/world-braille-usage/,Mathematical notation code developed at Johannes Kepler Universität
B165,Lambda,Braille Systems,Specialized - Math/Science,International,Active,https://www.perkins.org/resource/world-braille-usage/,Mathematical reading and writing system for Braille devices
B166,Marburg Mathematical Notation,Braille Systems,Specialized - Math/Science,Germany,Active,https://www.perkins.org/resource/world-braille-usage/,European alternative to Nemeth Code
B167,Saunderson's Palpable Arithmetic,Braille Systems,Specialized - Math/Science,England,Historical,https://en.wikipedia.org/wiki/Nicholas_Saunderson,Nicholas Saunderson's tactile calculating device/abacus
B168,Unified English Braille (UEB) Technical,Braille Systems,Specialized - Math/Science,International,Active,https://www.iceb.org/ueb.html,Integrated technical/math symbols within UEB framework
B169,Woluwe Code,Braille Systems,Specialized - Math/Science,Belgium,Active,https://www.perkins.org/resource/world-braille-usage/,Mathematical Braille notation based on Marburg code
B170,Architectural Braille,Braille Systems,Specialized - Other,International,Active,https://www.perkins.org/resource/world-braille-usage/,Building codes accessibility
B171,Astronomy Braille,Braille Systems,Specialized - Other,International,Active,https://www.perkins.org/resource/world-braille-usage/,Star charts coordinates
B172,Biology notation,Braille Systems,Specialized - Other,International,Active,https://www.perkins.org/resource/world-braille-usage/,Genetic sequences etc.
B173,Board game adaptations,Braille Systems,Specialized - Other,International,Active,https://www.perkins.org/resource/world-braille-usage/,Various standards
B174,Braille for Constructed Languages,Braille Systems,Specialized - Other,International,Active,https://www.perkins.org/resource/world-braille-usage/,Custom mappings (e.g. Klingon Braille Dothraki Braille)
B175,Braille for Sign Languages,Braille Systems,Specialized - Other,International,Active,https://www.perkins.org/resource/world-braille-usage/,Represents manual signs in tactile form
B176,Card game Braille,Braille Systems,Specialized - Other,International,Active,https://www.perkins.org/resource/world-braille-usage/,Standard card markings
B177,Chemistry Braille,Braille Systems,Specialized - Other,International,Active,https://www.perkins.org/resource/world-braille-usage/,Beyond basic science; specialized notations
B178,Chess Braille notation,Braille Systems,Specialized - Other,International,Active,https://en.wikipedia.org/wiki/Chess_notation#Braille,Algebraic/descriptive
B179,Dice Braille,Braille Systems,Specialized - Other,International,Active,https://www.perkins.org/resource/world-braille-usage/,Accessible gaming
B180,Engineering drawing codes,Braille Systems,Specialized - Other,International,Active,https://www.perkins.org/resource/world-braille-usage/,Technical diagrams
B181,Esperanto Braille,Braille Systems,Specialized - Other,International,Active,https://en.wikipedia.org/wiki/Esperanto_Braille,International Braille with special characters
B182,Financial Braille,Braille Systems,Specialized - Other,International,Active,https://www.perkins.org/resource/world-braille-usage/,Currency identification statements
B183,Grade 1 Braille (Uncontracted),Braille Systems,Specialized - Other,International,Active,https://en.wikipedia.org/wiki/English_Braille#Grade_1,Letter-by-letter transcription
B184,Grade 2 Braille (Contracted),Braille Systems,Specialized - Other,International,Active,https://en.wikipedia.org/wiki/English_Braille#Grade_2,180 different letter contractions
B185,Grade 3 Braille / Personal Shorthand,Braille Systems,Specialized - Other,International,Obsolete,https://en.wikipedia.org/wiki/English_Braille#Grade_3,Advanced highly abbreviated extension; now obsolete
B186,IPA Braille (International Phonetic Alphabet),Braille Systems,Specialized - Other,International,Active,https://en.wikipedia.org/wiki/IPA_Braille,Braille representation of the International Phonetic Alphabet
B187,Hebrew Cantillation Braille (Te'amim),Braille Systems,Specialized - Other,International,Active,https://forward.com/culture/421768/how-to-capture-the-nuances-of-torah-in-braille/,Extended Hebrew Braille with cantillation marks for Torah chanting
